Timestamp,ErrorCode,OperatingSystem
2025/27/08 14:55:19,02658,Windows 11 10.0
2025/27/08 14:57:52,02658,Windows 11 10.0
2025/28/08 23:03:45,02658,Windows 11 10.0
2025/29/08 10:15:34,01153,Windows 11 10.0
2025/29/08 10:23:28,02658,Windows 11 10.0
2025/29/08 10:24:04,02658,Windows 11 10.0
2025/29/08 10:26:02,02658,Windows 11 10.0
2025/29/08 10:27:00,02658,Windows 11 10.0
2025/29/08 10:28:26,02658,Windows 11 10.0
2025/29/08 10:29:07,02658,Windows 11 10.0
2025/29/08 10:29:13,02658,Windows 11 10.0
2025/29/08 10:29:20,02658,Windows 11 10.0
2025/29/08 10:29:28,02658,Windows 11 10.0
2025/29/08 10:29:36,02658,Windows 11 10.0
2025/29/08 10:29:42,02658,Windows 11 10.0
2025/29/08 13:08:53,02658,Windows 11 10.0
2025/29/08 13:27:21,02658,Windows 11 10.0
2025/29/08 13:29:21,01153,Windows 11 10.0
2025/29/08 13:29:36,01153,Windows 11 10.0
2025/29/08 13:29:54,02658,Windows 11 10.0
2025/29/08 13:32:21,02658,Windows 11 10.0
2025/29/08 13:49:35,02658,Windows 11 10.0
2025/29/08 13:56:27,02658,Windows 11 10.0
2025/29/08 13:57:59,02658,Windows 11 10.0
2025/29/08 13:59:50,02658,Windows 11 10.0
